Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,26.9,26.7,0.26,0.00,0.00,6.41,0.26,2.31,0.00,0.00,0.00,0.00,19.5,4.62,2.82,19.0,5.13,0.77,0.00,1.03,17.2,0.26,0.51,1.79,1.28,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,59.7,50.4,9.30,1.14,0.07,6.23,0.81,2.16,0.00,0.00,0.00,0.00,36.5,14.7,8.50,42.9,4.47,3.11,8.17,0.04,47.8,0.15,0.99,1.68,2.20,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,15.0,10.0,5.00,0.00,20.0,10.0,0.00,0.00,25.0,0.00,0.00,0.00,0.00,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,34.5,27.3,7.15,1.91,0.00,2.48,1.06,0.00,0.00,0.00,0.00,0.00,24.8,1.79,7.88,2.91,25.8,0.03,0.00,4.82,29.4,0.09,0.48,0.30,0.03,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,33.8,22.6,11.2,2.42,0.00,1.92,0.67,0.00,0.00,0.00,0.00,0.00,14.1,1.33,18.3,2.25,24.5,0.00,0.08,5.83,22.3,0.08,1.08,0.08,0.08,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,46.0,44.5,1.49,0.96,0.00,6.40,0.61,0.13,0.00,0.00,0.00,0.00,33.7,6.14,6.14,4.96,39.2,1.23,0.22,0.18,39.4,0.13,0.48,1.10,0.88,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,48.8,45.8,3.04,1.16,0.43,9.86,0.58,1.01,0.00,0.00,0.00,0.00,39.6,5.36,3.91,3.33,43.3,1.16,0.29,0.00,39.1,0.29,0.58,1.74,2.03,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,32.5,31.3,1.19,0.22,0.07,5.22,0.63,1.07,0.22,0.00,0.04,0.00,24.9,4.00,3.56,29.6,1.41,0.74,0.22,0.26,26.3,0.15,0.26,0.81,1.15,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,55.3,47.3,8.04,1.03,0.00,7.94,0.37,1.21,0.37,0.00,0.37,0.00,37.0,10.2,8.13,40.7,4.77,1.87,6.64,0.28,45.1,0.37,0.56,1.21,2.34,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,39.5,38.7,0.80,0.63,0.00,7.64,1.38,0.34,0.00,0.00,0.00,0.00,25.2,4.94,9.43,3.74,30.1,3.56,0.11,0.06,30.7,0.06,1.15,0.52,0.69,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,49.1,46.6,2.50,2.36,0.05,4.86,2.41,0.09,0.00,0.00,0.00,0.00,35.5,4.49,9.12,3.56,41.0,2.78,0.14,0.05,41.4,0.14,0.93,0.69,0.65,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,50.6,48.7,1.93,1.60,0.00,3.37,3.04,0.39,0.00,0.00,0.00,0.00,34.8,5.19,10.6,7.79,38.2,2.38,0.17,0.17,44.0,0.22,0.72,0.22,0.11,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,44.6,43.1,1.50,0.30,0.00,7.50,1.20,0.20,0.20,0.10,0.10,0.00,37.4,4.10,3.10,3.60,38.1,1.40,0.90,0.20,39.9,0.00,0.30,0.60,0.80,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,41.3,40.0,1.26,1.20,0.12,6.23,0.84,0.18,0.00,0.00,0.00,0.00,33.4,3.05,4.85,2.87,35.6,1.68,0.06,0.06,35.7,0.06,0.48,0.72,0.54,Matches
